0,0
1e-06,9.9999000604991e-05
2e-06,9.99980006199819e-05
3e-06,9.99970006449726e-05
4e-06,9.99960006799629e-05
5e-06,9.99950007249529e-05
6e-06,9.99940007799424e-05
7e-06,9.99930008449313e-05
8e-06,9.99920009199195e-05
9e-06,9.99910010049069e-05
1e-05,9.99900010998934e-05
1.1e-05,9.99890012048788e-05
1.2e-05,9.99880013198632e-05
1.3e-05,9.99870014448464e-05
1.4e-05,9.99860015798283e-05
1.5e-05,9.99850017248088e-05
1.6e-05,9.99840018797878e-05
1.7e-05,9.99830020447652e-05
1.8e-05,9.99820022197408e-05
1.9e-05,9.99810024047147e-05
2e-05,9.99800025996867e-05
2.1e-05,9.99790028046567e-05
2.2e-05,9.99780030196246e-05
2.3e-05,9.99770032445903e-05
2.4e-05,9.99760034795537e-05
2.5e-05,9.99750037245147e-05
2.6e-05,9.99740039794732e-05
2.7e-05,9.9973004244429e-05
2.8e-05,9.99720045193822e-05
2.9e-05,9.99710048043326e-05
3e-05,9.99700050992801e-05
3.1e-05,9.99690054042246e-05
3.2e-05,9.9968005719166e-05
3.3e-05,9.99670060441042e-05
3.4e-05,9.99660063790391e-05
3.5e-05,9.99650067239706e-05
3.6e-05,9.99640070788986e-05
3.7e-05,9.9963007443823e-05
3.8e-05,9.99620078187437e-05
3.9e-05,9.99610082036606e-05
4e-05,9.99600085985736e-05
4.1e-05,9.99590090034826e-05
4.2e-05,9.99580094183875e-05
4.3e-05,9.99570098432882e-05
4.4e-05,9.99560102781846e-05
4.5e-05,9.99550107230766e-05
4.6e-05,9.99540111779641e-05
4.7e-05,9.9953011642847e-05
4.8e-05,9.99520121177252e-05
4.9e-05,9.99510126025986e-05
5e-05,9.99500130974671e-05
5.1e-05,9.99490136023306e-05
5.2e-05,9.99480141171891e-05
5.3e-05,9.99470146420423e-05
5.4e-05,9.99460151768902e-05
5.5e-05,9.99450157217327e-05
5.6e-05,9.99440162765697e-05
5.7e-05,9.99430168414012e-05
5.8e-05,9.99420174162269e-05
5.9e-05,9.99410180010468e-05
6e-05,9.99400185958609e-05
6.1e-05,9.99390192006689e-05
6.2e-05,9.99380198154708e-05
6.3e-05,9.99370204402665e-05
6.4e-05,9.9936021075056e-05
6.5e-05,9.9935021719839e-05
6.6e-05,9.99340223746156e-05
6.7e-05,9.99330230393855e-05
6.8e-05,9.99320237141488e-05
6.9e-05,9.99310243989052e-05
7e-05,9.99300250936547e-05
7.1e-05,9.99290257983973e-05
7.2e-05,9.99280265131328e-05
7.3e-05,9.9927027237861e-05
7.4e-05,9.9926027972582e-05
7.5e-05,9.99250287172956e-05
7.6e-05,9.99240294720016e-05
7.7e-05,9.99230302367001e-05
7.8e-05,9.99220310113909e-05
7.9e-05,9.99210317960738e-05
8e-05,9.99200325907489e-05
8.1e-05,9.9919033395416e-05
8.2e-05,9.9918034210075e-05
8.3e-05,9.99170350347258e-05
8.4e-05,9.99160358693683e-05
8.5e-05,9.99150367140024e-05
8.6e-05,9.9914037568628e-05
8.7e-05,9.9913038433245e-05
8.8e-05,9.99120393078533e-05
8.9e-05,9.99110401924528e-05
9e-05,9.99100410870434e-05
9.1e-05,9.9909041991625e-05
9.2e-05,9.99080429061976e-05
9.3e-05,9.99070438307609e-05
9.4e-05,9.99060447653149e-05
9.5e-05,9.99050457098596e-05
9.6e-05,9.99040466643947e-05
