205.4681480205,6.66664444899973e-05,-83.5218541281923
209.295812145568,6.66664525437257e-05,-83.5218530788819
213.194781788282,6.66664603055724e-05,-83.5218520676006
217.166385298434,6.66664677861159e-05,-83.52185109297
221.211975771632,6.66664749955509e-05,-83.5218501536619
225.33293151029,6.66664819437027e-05,-83.5218492483961
229.530656493202,6.66664886400408e-05,-83.521848375939
233.806580853871,6.66664950936912e-05,-83.5218475351013
238.162161367741,6.66665013134493e-05,-83.5218467247373
242.598881948515,6.66665073077918e-05,-83.5218459437424
247.118254153706,6.66665130848879e-05,-83.5218451910524
251.721817699619,6.66665186526113e-05,-83.5218444656413
256.41114098592,6.66665240185497e-05,-83.5218437665205
261.187821629976,6.66665291900164e-05,-83.5218430927373
266.053487011152,6.66665341740591e-05,-83.5218424433733
271.009794825248,6.66665389774706e-05,-83.5218418175435
276.058433649263,6.66665436067971e-05,-83.5218412143951
281.201123516678,6.66665480683479e-05,-83.521840633106
286.439616503466,6.66665523682034e-05,-83.5218400728839
291.775697325001,6.66665565122238e-05,-83.5218395329655
297.211183944105,6.66665605060567e-05,-83.5218390126148
302.747928190412,6.66665643551453e-05,-83.5218385111226
308.387816391271,6.66665680647353e-05,-83.5218380278055
314.132770014404,6.66665716398824e-05,-83.5218375620049
319.984746322539,6.66665750854591e-05,-83.5218371130858
325.94573904023,6.66665784061612e-05,-83.5218366804364
332.017779033108,6.66665816065145e-05,-83.5218362634671
338.202934999779,6.66665846908805e-05,-83.5218358616097
344.503314176614,6.66665876634629e-05,-83.5218354743164
350.921063055673,6.6666590528313e-05,-83.5218351010593
357.458368115992,6.66665932893351e-05,-83.5218347413299
364.117456568507,6.66665959502922e-05,-83.5218343946379
370.900597114842,6.66665985148108e-05,-83.5218340605107
377.810100720243,6.6666600986386e-05,-83.5218337384929
384.848321400905,6.66666033683863e-05,-83.5218334281457
392.017657025967,6.66666056640581e-05,-83.5218331290461
399.320550134449,6.666660787653e-05,-83.5218328407866
406.759488767407,6.66666100088174e-05,-83.5218325629741
414.337007315589,6.66666120638264e-05,-83.5218322952302
422.055687382884,6.66666140443576e-05,-83.5218320371899
429.918158665855,6.66666159531102e-05,-83.5218317885015
437.927099849655,6.66666177926857e-05,-83.521831548826
446.085239520639,6.66666195655912e-05,-83.521831317837
454.395357095968,6.66666212742429e-05,-83.5218310952194
462.86028377054,6.66666229209695e-05,-83.52183088067
471.482903481555,6.66666245080153e-05,-83.5218306738962
480.266153891049,6.66666260375433e-05,-83.5218304746165
489.213027386739,6.6666627511638e-05,-83.521830282559
498.326572101501,6.66666289323084e-05,-83.5218300974621
507.609892951848,6.66666303014907e-05,-83.5218299190735
517.066152695755,6.6666631621051e-05,-83.5218297471501
526.698573010183,6.66666328927877e-05,-83.5218295814575
536.51043558868,6.66666341184339e-05,-83.52182942177
546.505083259435,6.66666352996601e-05,-83.5218292678699
556.685921124147,6.66666364380762e-05,-83.5218291195475
567.056417718123,6.66666375352336e-05,-83.5218289766006
577.620106191982,6.66666385926277e-05,-83.5218288388345
588.380585515368,6.66666396116997e-05,-83.5218287060612
599.341521703097,6.66666405938382e-05,-83.5218285780999
610.50664906414,6.6666641540382e-05,-83.5218284547763
621.879771473873,6.6666642452621e-05,-83.5218283359221
633.464763670028,6.66666433317984e-05,-83.5218282213755
645.26557257279,6.66666441791126e-05,-83.5218281109803
657.286218629482,6.66666449957183e-05,-83.5218280045861
669.530797184298,6.66666457827284e-05,-83.5218279020478
682.003479873561,6.66666465412156e-05,-83.5218278032257
694.70851604697,6.66666472722135e-05,-83.5218277079852
707.650234215309,6.66666479767184e-05,-83.5218276161964
720.833043525158,6.66666486556906e-05,-83.5218275277342
734.261435261036,6.66666493100553e-05,-83.5218274424781
747.939984375565,6.66666499407043e-05,-83.5218273603118
761.873351048108,6.66666505484973e-05,-83.5218272811235
776.066282272471,6.66666511342624e-05,-83.5218272048051
790.523613474155,6.66666516987981e-05,-83.5218271312527
805.250270157761,6.66666522428738e-05,-83.5218270603659
820.251269585061,6.66666527672309e-05,-83.5218269920483
835.531722484354,6.66666532725841e-05,-83.5218269262067
851.096834791642,6.66666537596221e-05,-83.5218268627513
866.95190942426,6.66666542290087e-05,-83.5218268015956
883.102348087538,6.66666546813837e-05,-83.5218267426564
899.553653115121,6.66666551173636e-05,-83.5218266858533
916.311429343576,6.66666555375425e-05,-83.5218266311089
933.381386021913,6.66666559424931e-05,-83.5218265783486
950.769338756688,6.66666563327673e-05,-83.5218265275004
968.481211493335,6.6666656708897e-05,-83.521826478495
986.523038534407,6.66666570713949e-05,-83.5218264312658
1004.90096659542,6.66666574207549e-05,-83.5218263857482
1023.62125689901,6.66666577574532e-05,-83.5218263418804
1042.69028730803,6.66666580819488e-05,-83.5218262996024
1062.11455449853,6.66666583946837e-05,-83.5218262588567
1081.90067617302,6.66666586960844e-05,-83.5218262195877
